ID,Address,Latitude,Longitude,Points for Mapping,Status,Applicant Submit Date,Issue Date,Business Name,DBA,Permit Type,Permit for Existing Business,Serving/Catering,HACCP Plan,Allergen Awareness Certification Expiration,Anti-Choking Expiration,Food Protection Expiration,Frozen Mix Pasteurized,Frozen Mix Purchased,Frozen Mix Purchased At,Manufacturing Ice Cream,Serving Tobacco,Serving Soft Serve,Serving Milk,Bacteria Testing Lab,Retail Area Size,Number of Seats,Recycling Contractor,Recycling (Containers),Recycling (Cardboard),Recycling (Food Scraps),Recycling (Oil),Recycling (Other),Recycling (Paper),Rubbish Removal Company,Pick Up,Saturday Pick Up,Dumpster Responsibility,Dumpster License Application,Dumpster Count,Grease Removal Company,Extermination Company,Sunday Hours,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours
19562,"26 New St,  Cambridge, MA 02138",42.388,-71.1406,POINT (-71.140575 42.387971),Complete,8/24/18,8/28/18,Terra Cuisine LLC,Terra Cuisine Catering,Non Alcohol,Yes,TRUE,No,8/24/18,8/24/20,8/4/21,,,,,,,,,700,0,N/A,No,No,No,No,N/A,No,N/A,,,Yes,No,,N/A,N/A,2-Sep,9a-10p,9a-10p,9a-10p,9a-10p,9a-10p,9a-10p
22449,"5 Greenough Blvd,  Cambridge, MA 02138",42.3705,-71.133,POINT (-71.133038 42.370471),Complete,10/1/18,11/21/18,American Legion,Marsh Post #442,Alcohol,Yes,,No,10/1/18,10/1/18,10/1/18,,,,,,,TRUE,,,85,DCR,Yes,No,No,No,N/A,Yes,DCR,,,No,No,,N/A,Thompson Pest,12PM 1AM,4PM 12AM,4PM 12AM,4PM,4pm,4PM,12PM
24878,"13 White St,  Cambridge, MA 02140",42.3894,-71.1192,POINT (-71.119228 42.389411),Complete,10/29/18,10/31/18,Liquor World Inc. ,Porter Square Wine & Spirits,Package,Yes,,No,10/29/18,10/29/18,10/29/18,,,,,TRUE,,,,0,,,Yes,Yes,No,No,No,Yes,na,,,Yes,No,,na,Terminex,8-Dec,11-Sep,11-Sep,11-Sep,11-Sep,11-Sep,11-Sep
30239,"300 Binney St,  Cambridge, MA 02142",42.3662,-71.0876,POINT (-71.087573 42.366154),Complete,10/31/18,1/28/19,Bright Horizons @ Biogen,Bright Horizons @ Biogen,Non Alcohol,Yes,FALSE,No,1/8/19,1/8/19,1/8/19,,,,FALSE,FALSE,FALSE,TRUE,,,0,building,No,Yes,No,No,n/a,Yes,Building,,,Yes,No,,n/a,Building,closed,7:00AM - 6:00PM,7:00AM - 6:00PM,7:00AM - 6:00PM,7:00AM - 6:00PM,7:00AM - 6:00PM,closed
29794,"143 First St,  Cambridge, MA 02142",42.3665,-71.078,POINT (-71.07801 42.366496),Complete,12/17/18,12/26/18,helmand resturant,helmand boston inc,Alcohol,Yes,FALSE,No,12/19/20,7/24/23,8/23/23,,Yes,,FALSE,FALSE,FALSE,TRUE,,,119,Cassella,Yes,Yes,Yes,Yes,na,Yes,Casella,,,No,Yes,2,American ,Waltham Pest,5 to 10,5 to 10,5 to 10,5 to 10,5 to 10,5 to 11,5 to 11
44648,"0 Harvard Sq,  Cambridge, MA 02138",42.3736,-71.119,POINT (-71.119014 42.373586),Complete,4/13/19,4/18/19,Muckeys corp ,Out of town news,Retail,Yes,,No,4/1/19,4/1/19,4/1/19,,,,,TRUE,,,,0,,na,No,Yes,No,No,na,Yes,na,,,No,No,,na,na,6.30 to 9,6.30 to 9,6.30 to 9,6.30 to 9,6.30 to 9,6.30 to 9,6.30 to 9
16830,"407 Memorial Dr,  Cambridge, MA 02139",42.3562,-71.0974,POINT (-71.097387 42.356213),Complete,5/3/19,7/12/19,Kappa Sigma Fraternity,Gill Grilling Company at Kappa Sigma,Non Alcohol,,,No,5/31/22,6/1/21,12/27/23,,,,,,,TRUE,,,30,MIT,Yes,Yes,No,Yes,n/a,Yes,MIT,,,Yes,No,,A & K Waste Systems,Advanced Pest Control,closed,11-7:30,11-7:30,11-7:30,11-7:30,3-Nov,closed
49636,"799 Concord Ave,  Cambridge, MA 02138",42.3915,-71.1555,POINT (-71.155468 42.391457),Complete,6/19/19,2/27/20,"Sancta Maria Hospital, Inc",Sancta Maria Nursing Facility,Non Alcohol,Yes,,No,3/10/21,3/10/21,3/10/22,Yes,Yes,Hersheys,FALSE,,,TRUE,na,,134,na,No,No,No,No,na,No,na,,,Yes,No,,na,Waltham Chemical,24,24,24,24,24,24,24
49896,"25 White St,  Cambridge, MA 02140",42.3896,-71.1188,POINT (-71.118848 42.389619),Complete,6/22/19,7/11/19,Cafe Zing ,Cafe Zing,Non Alcohol,Yes,,Yes,5/27/23,5/27/23,11/15/23,,,,,,,TRUE,,,20,gravestar ,Yes,Yes,No,No,n/a,Yes,n/a,,,Yes,No,,n/a ,n/a,8a-7p,7a-9p,7a-9p,7a-9p,7a-9p,7a-9p,8a-7p
50177,"468 Broadway,  Cambridge, MA 02138",42.374,-71.1131,POINT (-71.113066 42.37396),Complete,6/26/19,7/1/19,Broadway Marketplace,Broadway Marketplace,Package,Yes,FALSE,No,6/26/19,6/26/19,6/26/19,,,,FALSE,FALSE,FALSE,FALSE,,1500,,Republic,Yes,Yes,No,No,na,Yes,Republic,,,Yes,No,,Johns Sewer,Bain Pest Control,11:00-9,11:00-9,11:00Am-9,11:00Am-9,11:00-9,11:00-9,11:00-9
