XCoord,YCoord,FID,LINEARID,FULLNAME,RTTYP,MTFCC
7722764.791,682958.984,13,1.10609E+12,Hst Columbia River Hwy,M,S1400
7722616.13,684003.4477,1120,1.10426E+12,E Historic Columbia River Hwy,M,S1400
7723285.772,683637.9378,1128,1.10502E+11,E Woodard Rd,M,S1400
7722219.41,682368.4421,3715,1.10502E+11,NE Sandy Dell Rd,M,S1400
7696460.048,681370.1996,4894,1.10502E+11,SE Stark St,M,S1400
7720678.129,683937.5215,4913,1.10502E+11,SE Evans Ave,M,S1400
7720080.663,680241.8396,4989,1.10502E+11,SE Elizabeth Pl,M,S1400
7720543.83,683463.2325,4994,1.10502E+11,SE 22nd Cir,M,S1400
7721379.264,679982.5323,5001,1.10502E+11,SE 35th St,M,S1400
7719411.965,683526.4391,5422,1.10502E+11,SE Beaver Creek Ln,M,S1400
7720501.017,680767.5186,5425,1.10502E+11,SE Evans Ave,M,S1400
7719025.81,683784.3694,5427,1.10502E+11,SE 21st St,M,S1400
7720616.586,682870.6682,5428,1.10502E+11,SE Nash Ct,M,S1400
7720187.021,680707.7395,5467,1.10502E+11,SE Hampton Loop,M,S1400
7720301.439,681637.8576,5504,1.10502E+11,SE 28th Pl,M,S1400
7720272.391,682201.8212,5505,1.10502E+11,SE Evans Ave,M,S1400
7721288.735,683598.0046,5918,1.10502E+11,SE 20th Way,M,S1400
7720660.958,683018.4194,5919,1.10502E+11,SE 23rd St,M,S1400
7721353.295,682655.8057,5920,1.10502E+11,SE 24th Cir,M,S1400
7721367.146,683926.5914,5921,1.10502E+11,SE 19th Cir,M,S1400
7719461.239,680567.5631,5973,1.10502E+11,SE Stott Cir,M,S1400
7719695.685,680291.0213,5974,1.10502E+11,SE Blake Pl,M,S1400
7721040.732,681198.8831,5978,1.10502E+11,SE 30th,M,S1400
7721639.608,681555.4178,5979,1.10502E+11,SE 28th Ct,M,S1400
7719800.304,686199.0078,6405,1.10502E+11,SE Beaver Creek Ln,M,S1400
7720530.401,682349.5411,6410,1.10502E+11,SE Clark Ct,M,S1400
7721231.254,682016.1751,6411,1.10502E+11,SE Hicklin Ct,M,S1400
7720371.734,681641.1602,6458,1.10502E+11,SE Chandler Ave,M,S1400
7720613.089,681234.2255,6468,1.10502E+11,SE Lewis Ct,M,S1400
7721424.623,681283.5966,6469,1.10502E+11,SE 29th Ct,M,S1400
7721684.314,680709.2763,6484,1.10502E+11,SE Benjamin Ct,M,S1400
7721030.943,683493.5071,6911,1.10502E+11,SE 21st Cir,M,S1400
7720916.03,682193.0246,6912,1.10502E+11,SE Pelton Ct,M,S1400
7721713.431,680756.6557,6913,1.10502E+11,SE 32nd St,M,S1400
7721990.472,680700.7006,6987,1.10502E+11,SE Hall Ct,M,S1400
7722948.282,685505.713,7359,1.10502E+11,SE Thompson Rd,M,S1400
7719207.771,684686.7092,7409,1.10502E+11,SE 17th St,M,S1400
7720561.759,680533.3002,7410,1.10502E+11,SE Lewis Ct,M,S1400
7720901.61,682912.7078,7412,1.10502E+11,SE Hudson Ct,M,S1400
7719707.48,684275.3843,7460,1.10502E+11,SE 19th Pl,M,S1400
7720253.21,681917.4329,7473,1.10502E+11,SE 27th St,M,S1400
7721652.165,681842.7955,7476,1.10502E+11,SE 27th Ct,M,S1400
7721172.227,685338.0613,7863,1.10502E+11,SE Evans Loop,M,S1400
7720051.36,684704.4738,7884,1.10502E+11,SE Beaver Creek Ln,M,S1400
7719328.503,684411.7678,7890,1.10502E+11,SE 18th St,M,S1400
7721027.481,682121.7948,7892,1.10502E+11,SE 26th St,M,S1400
7721676.005,680877.8824,7893,1.10502E+11,SE Sandy Dell Rd,M,S1740
7722010.518,680943.8095,7894,1.10502E+11,SE Hall Ln,M,S1400
7720854.21,679708.0188,7895,1.10502E+11,SE Pelton Ave,M,S1400
7720425.497,681378.1538,7945,1.10502E+11,SE 29th St,M,S1400
7719650.193,684871.6031,7949,1.10502E+11,SE Knarr Ct,M,S1400
7720007.949,680386.9424,7956,1.10502E+11,SE 33rd St,M,S1400
7721066.21,681098.3014,7962,1.10502E+11,SE 30th Ct,M,S1400
7723086.519,684344.6171,8330,1.10502E+11,SE Woodard Rd,M,S1400
7719059.149,684169.6107,8383,1.10502E+11,SE 19th St,M,S1400
7721368.974,682930.7396,8384,1.10502E+11,SE Lewellyn Ave,M,S1400
7720224.711,681106.0262,8433,1.10502E+11,SE 30th Pl,M,S1400
7721508.733,682363.722,8434,1.10502E+11,SE 26th Ct,M,S1400
7722336.885,681534.5299,8435,1.10502E+11,SE Sandy Dell Rd,M,S1400
7721547.98,683854.0101,11598,1.10502E+11, , ,S1400
7720107.921,681146.5304,13609,1.10502E+11,Hampton Ave,M,S1400
