FID,OBJECTID,Comment,YEAR_BUILT,PORTS,PRIVATE,LAT,LONG,ELEV,Hydrant_Ty,Address_Nu,Street_Nam,Repairs_Ne,Last_Maint,Maintained,PSI,POINT_X,POINT_Y,POINT_Z,POINT_M
0,1,needs paint,1970,3,N,45.545956560000000,-122.391644299999996,-10.005983490000000,Pacific States,893.000000000000000,GRAHAM,Replace Reflector,6/12/2014 0:00:00,Y,80,7717505.451190000399947,690811.738250000053085,-10.006000000000000,0.000000000000000
1,2, ,1971,3,N,45.548237409999999,-122.390716900000001,-8.977436691999999,Pacific States,1129.000000000000000,GRAHAM,Replace Reflector,6/9/2014 0:00:00,Y,85,7717761.408359999768436,691638.667370000039227,-8.977399999999999,0.000000000000000
2,3, ,2007,3,N,45.548055720000001,-122.387804200000005,-8.027119421000000,Clow,1027.000000000000000,HARLOW,Replace Reflector,6/9/2014 0:00:00,Y,80,7718505.528260000050068,691555.003495999961160,0.000000000000000,0.000000000000000
3,4, ,0,3,Y,45.547720800000000,-122.387588899999997,-9.181743573000000, ,1001.000000000000000,HARLOW, ,,N,0,7718553.540300000458956,691428.649418000015430,-9.181699999999999,0.000000000000000
4,5, ,1986,3,N,45.550995260000001,-122.388589199999998,-9.281924635999999,Muller SC,1500.000000000000000,GRAHAM,Replace Reflector,6/9/2014 0:00:00,Y,85,7718329.862599999643862,692631.183429999975488,-9.281900000000000,0.000000000000000
5,6, ,1971,3,N,45.550998110000002,-122.390858399999999,-8.841859081000001,Pacific States,472.000000000000000,PERIMETER,Need Paint,6/9/2014 0:00:00,Y,85,7717748.728590000420809,692645.818571000010706,-8.841900000000001,0.000000000000000
6,7, ,0,3,Y,45.551604470000001,-122.388919599999994,-10.052763790000000, ,325.000000000000000,GRAHAM, ,,N,0,7718250.423449999652803,692855.225304999970831,-10.052800000000000,0.000000000000000
7,8, ,2000,3,N,45.551834390000003,-122.388736800000004,-9.937585414000001,Clow,1500.000000000000000,GRAHAM,Replace Reflector,6/9/2014 0:00:00,Y,90,7718299.194679999724030,692937.941019000019878,-9.937600000000000,0.000000000000000
8,9,needs paint,1971,3,N,45.551023549999996,-122.392879199999996,-10.655712740000000,Pacific States,452.000000000000000,PERIMETER,Replace Reflector,,Y,85,7717231.334610000252724,692667.145299999974668,-10.655700000000000,0.000000000000000
9,10, ,1971,3,N,45.551034979999997,-122.394964999999999,-11.315476240000001,Pacific States,923.000000000000000,PERIMETER,Need Paint,6/9/2014 0:00:00,Y,90,7716697.352090000174940,692683.903469000011683,-11.315500000000000,0.000000000000000
10,11, ,1971,3,N,45.550983590000001,-122.396840600000004,-11.417696440000000,Pacific States,1080.000000000000000,PERIMETER,Need Paint,6/9/2014 0:00:00,Y,90,7716216.557439999654889,692676.447446999954991,-11.417700000000000,0.000000000000000
11,12, ,1971,3,N,45.551011809999999,-122.398675600000004,-12.501433010000000,Pacific States,1250.000000000000000,PERIMETER,Replace Reflector,6/9/2014 0:00:00,Y,90,7715746.860550000332296,692697.774176000035368,-12.501400000000000,0.000000000000000
12,13, ,1971,3,N,45.551004960000000,-122.401175100000003,-13.391856949999999,Pacific States,1510.000000000000000,PERIMETER, ,6/9/2014 0:00:00,Y,90,7715106.681710000149906,692710.333206000039354,-13.391900000000000,0.000000000000000
13,14, ,1978,3,N,45.551002529999998,-122.402742000000003,-14.529335460000000,Dresser 500,1590.000000000000000,PERIMETER, ,6/9/2014 0:00:00,Y,90,7714705.387240000069141,692718.893884000019170,-14.529299999999999,0.000000000000000
14,15, ,1986,3,N,45.551726930000001,-122.405374499999994,-13.665822130000000,Muller SC,1851.000000000000000,GRAHAM,Need Paint,6/6/2014 0:00:00,Y,90,7714037.413510000333190,692998.837222000001930,-13.665800000000001,0.000000000000000
15,16, ,1988,3,N,45.551704940000000,-122.406753699999996,-13.713177829999999,Muller SC,1953.000000000000000,GRAHAM,Need Paint,6/6/2014 0:00:00,Y,90,7713684.033640000037849,692999.157432000036351,-13.713200000000001,0.000000000000000
16,17, ,1989,3,N,45.551636840000000,-122.407962499999996,-14.400171690000001,Muller SC,0.000000000000000,GRAHAM,Need Paint,6/6/2014 0:00:00,Y,90,7713373.861030000261962,692981.644343000021763,-14.400200000000000,0.000000000000000
17,18, ,2007,3,N,45.553667210000000,-122.407641600000005,-13.390357290000001,Muller SC,1650.000000000000000,SUNDIAL,Need Paint,6/6/2014 0:00:00,Y,90,7713473.533400000073016,693719.790176999988034,-13.390400000000000,0.000000000000000
18,19, ,1994,3,N,45.554648409999999,-122.407584499999999,-13.336662170000000,Muller SC,0.000000000000000,SUNDIAL,Need Paint,6/5/2014 0:00:00,Y,90,7713496.601920000277460,694077.098516999976709,-13.336700000000000,0.000000000000000
19,20, ,2008,3,N,45.554940690000002,-122.406196300000005,-13.311886590000000,Clow,0.000000000000000,SWIGERT,Need Paint,6/5/2014 0:00:00,Y,90,7713854.845630000345409,694175.245631000027061,-13.311900000000000,0.000000000000000
20,21, ,2008,3,N,45.555081809999997,-122.404279200000005,-13.210166279999999,Clow,0.000000000000000,SWIGERT,Need Paint,6/5/2014 0:00:00,Y,90,7714346.746220000088215,694214.980458999983966,0.000000000000000,0.000000000000000
